0000: Transfert_LuxNet 
0001: Einst_WK_akt 
0002: Einst_BWS_akt 
0003: Ba_Hz_akt 
0004: Ba_Bw_akt 
0005: Ba_Al_akt 
0006: SU_FrkdHz 
0007: SU_FrkdBw 
0008: SU_FrkdAl 
0009: Einst_HReg_akt 
0010: Einst_HzHwMAt_akt 
0011: Einst_HzHwHKE_akt 
0012: Einst_HzHKRANH_akt 
0013: Einst_HzHKRABS_akt 
0014: Einst_HzMK1E_akt 
0015: Einst_HzMK1ANH_akt 
0016: Einst_HzMK1ABS_akt 
0017: Einst_HzFtRl_akt 
0018: Einst_HzFtMK1Vl_akt 
0019: Einst_SUBW_akt 
0020: Einst_BwTDI_akt_MO 
0021: Einst_BwTDI_akt_DI 
0022: Einst_BwTDI_akt_MI 
0023: Einst_BwTDI_akt_DO 
0024: Einst_BwTDI_akt_FR 
0025: Einst_BwTDI_akt_SA 
0026: Einst_BwTDI_akt_SO 
0027: Einst_BwTDI_akt_AL 
0028: Einst_AnlKonf_akt 
0029: Einst_Sprache_akt 
0030: Switchoff_Zahler 
0031: Switchoff_index 
0032: Einst_EvuTyp_akt 
0033: Einst_RFVEinb_akt 
0034: Einst_AbtZykMax_akt 
0035: Einst_HREinb_akt 
0036: Einst_ZWE1Art_akt 
0037: Einst_ZWE1Fkt_akt 
0038: Einst_ZWE2Art_akt 
0039: Einst_ZWE2Fkt_akt 
0040: Einst_BWBer_akt 
0041: Einst_En_Inst 
0042: Einst_MK1Typ_akt 
0043: Einst_ABTLuft_akt 
0044: Einst_TLAbt_akt 
0045: Einst_LAbtTime_akt 
0046: Einst_ASDTyp_akt 
0047: Einst_LGST_akt 
0048: Einst_BwWpTime_akt 
0049: Einst_Popt_akt 
0050: Einst_Kurzprog_akt 
0051: Timer_Kurzprog_akt 
0052: Einst_ManAbt_akt 
0053: Einst_Ahz_akt 
0054: Einst_TVL_Ahz_1 
0055: Einst_TVL_Ahz_2 
0056: Einst_TVL_Ahz_3 
0057: Einst_TVL_Ahz_4 
0058: Einst_TVL_Ahz_5 
0059: Einst_TVL_Ahz_6 
0060: Einst_TVL_Ahz_7 
0061: Einst_TVL_Ahz_8 
0062: Einst_TVL_Ahz_9 
0063: Einst_TVL_Ahz_10 
0064: Einst_TVL_Std_1 
0065: Einst_TVL_Std_2 
0066: Einst_TVL_Std_3 
0067: Einst_TVL_Std_4 
0068: Einst_TVL_Std_5 
0069: Einst_TVL_Std_6 
0070: Einst_TVL_Std_7 
0071: Einst_TVL_Std_8 
0072: Einst_TVL_Std_9 
0073: Einst_TVL_Std_10 
0074: Einst_BWS_Hyst_akt 
0075: Temp_TBW_BwHD_saved 
0076: Einst_ABT1_akt 
0077: Einst_LABTpaus_akt 
0078: AHZ_state_akt 
0079: Sollwert_TRL_HZ_AHZ 
0080: AHP_valid_records 
0081: Timer_AHZ_akt 
0082: Einst_BWTINP_akt 
0083: Einst_ZUPTYP_akt 
0084: Sollwert_TLG_max 
0085: Einst_BWZIP_akt 
0086: Einst_ERRmZWE_akt 
0087: Einst_TRBegr_akt 
0088: Einst_HRHyst_akt 
0089: Einst_TRErhmax_akt 
0090: Einst_ZWEFreig_akt 
0091: Einst_TAmax_akt 
0092: Einst_TAmin_akt 
0093: Einst_TWQmin_akt 
0094: Einst_THGmax_akt 
0095: Einst_FRGT2VD_akt 
0096: Einst_TV2VDBW_akt 
0097: Einst_SuAll_akt 
0098: Einst_TAbtEnd_akt 
0099: Einst_NrKlingel_akt 
0100: Einst_BWStyp_akt 
0101: Einst_ABT2_akt 
0102: Einst_UeVd_akt 
0103: Einst_RTyp_akt 
0104: Einst_AhpM_akt 
0105: Soll_BWS_akt 
0106: Timer_Password 
0107: Einst_Zugangscode 
0108: Einst_BA_Kuehl_akt 
0109: Sollwert_Kuehl1_akt 
0110: Einst_KuehlFreig_akt 
0111: Einst_TAbsMin_akt 
0112: TWQmin_saved 
0113: CWP_saved 
0114: Einst_Anode_akt 
0115: Timer_pexoff_akt 
0116: Einst_AnlPrio_Hzakt 
0117: Einst_AnlPrio_Bwakt 
0118: Einst_AnlPrio_Swakt 
0119: Ba_Sw_akt 
0120: Einst_RTypMK1_akt 
0121: Einst_RTypMK2_akt 
0122: Einst_TDC_Ein_akt 
0123: Einst_TDC_Aus_akt 
0124: Einst_TDC_Max_akt 
0125: Einst_HysHzExEn_akt 
0126: Einst_HysBwExEn_akt 
0127: Einst_ZWE3Art_akt 
0128: Einst_ZWE3Fkt_akt 
0129: Einst_HzSup_akt 
0130: Einst_MK2Typ_akt 
0131: Einst_KuTyp_akt 
0132: Sollwert_KuCft1_akt 
0133: Sollwert_KuCft2_akt 
0134: Sollwert_AtDif1_akt 
0135: Sollwert_AtDif2_akt 
0136: SU_FrkdSwb 
0137: Einst_SwbBer_akt 
0138: Einst_TV2VDSWB_akt 
0139: Einst_MinSwan_Time_akt 
0140: Einst_SuMk2_akt 
0141: Einst_HzMK2E_akt 
0142: Einst_HzMK2ANH_akt 
0143: Einst_HzMK2ABS_akt 
0144: Einst_HzMK2Hgr_akt 
0145: Einst_HzFtMK2Vl_akt 
0146: Temp_THG_BwHD_saved 
0147: Temp_TA_BwHD_saved 
0148: Einst_BwHup_akt 
0149: Einst_TVLmax_akt 
0150: Einst_MK1LzFaktor_akt 
0151: Einst_MK2LzFaktor_akt 
0152: Einst_MK1PerFaktor_akt 
0153: Einst_MK2PerFaktor_akt 
0154: Entl_Zyklus_akt 
0155: Einst_Entl_time_akt 
0156: Entl_Pause 
0157: Entl_timer 
0158: Einst_Entl_akt 
0159: Ahz_HLeist_confirmed 
0160: FirstInit_akt 
0161: Einst_SuAll_akt2 
0162: Einst_SuAllWo_zeit_0_0 
0163: Einst_SuAllWo_zeit_0_1 
0164: Einst_SuAllWo_zeit_1_0 
0165: Einst_SuAllWo_zeit_1_1 
0166: Einst_SuAllWo_zeit_2_0 
0167: Einst_SuAllWo_zeit_2_1 
0168: Einst_SuAll25_zeit_0_0 
0169: Einst_SuAll25_zeit_0_1 
0170: Einst_SuAll25_zeit_1_0 
0171: Einst_SuAll25_zeit_1_1 
0172: Einst_SuAll25_zeit_2_0 
0173: Einst_SuAll25_zeit_2_1 
0174: Einst_SuAll25_zeit_0_2 
0175: Einst_SuAll25_zeit_0_3 
0176: Einst_SuAll25_zeit_1_2 
0177: Einst_SuAll25_zeit_1_3 
0178: Einst_SuAll25_zeit_2_2 
0179: Einst_SuAll25_zeit_2_3 
0180: Einst_SuAllTg_zeit_0_0 
0181: Einst_SuAllTg_zeit_0_1 
0182: Einst_SuAllTg_zeit_1_0 
0183: Einst_SuAllTg_zeit_1_1 
0184: Einst_SuAllTg_zeit_2_0 
0185: Einst_SuAllTg_zeit_2_1 
0186: Einst_SuAllTg_zeit_0_2 
0187: Einst_SuAllTg_zeit_0_3 
0188: Einst_SuAllTg_zeit_1_2 
0189: Einst_SuAllTg_zeit_1_3 
0190: Einst_SuAllTg_zeit_2_2 
0191: Einst_SuAllTg_zeit_2_3 
0192: Einst_SuAllTg_zeit_0_4 
0193: Einst_SuAllTg_zeit_0_5 
0194: Einst_SuAllTg_zeit_1_4 
0195: Einst_SuAllTg_zeit_1_5 
0196: Einst_SuAllTg_zeit_2_4 
0197: Einst_SuAllTg_zeit_2_5 
0198: Einst_SuAllTg_zeit_0_6 
0199: Einst_SuAllTg_zeit_0_7 
0200: Einst_SuAllTg_zeit_1_6 
0201: Einst_SuAllTg_zeit_1_7 
0202: Einst_SuAllTg_zeit_2_6 
0203: Einst_SuAllTg_zeit_2_7 
0204: Einst_SuAllTg_zeit_0_8 
0205: Einst_SuAllTg_zeit_0_9 
0206: Einst_SuAllTg_zeit_1_8 
0207: Einst_SuAllTg_zeit_1_9 
0208: Einst_SuAllTg_zeit_2_8 
0209: Einst_SuAllTg_zeit_2_9 
0210: Einst_SuAllTg_zeit_0_10 
0211: Einst_SuAllTg_zeit_0_11 
0212: Einst_SuAllTg_zeit_1_10 
0213: Einst_SuAllTg_zeit_1_11 
0214: Einst_SuAllTg_zeit_2_10 
0215: Einst_SuAllTg_zeit_2_11 
0216: Einst_SuAllTg_zeit_0_12 
0217: Einst_SuAllTg_zeit_0_13 
0218: Einst_SuAllTg_zeit_1_12 
0219: Einst_SuAllTg_zeit_1_13 
0220: Einst_SuAllTg_zeit_2_12 
0221: Einst_SuAllTg_zeit_2_13 
0222: Einst_SuHkr_akt 
0223: Einst_SuHkrW0_zeit_0_0 
0224: Einst_SuHkrW0_zeit_0_1 
0225: Einst_SuHkrW0_zeit_1_0 
0226: Einst_SuHkrW0_zeit_1_1 
0227: Einst_SuHkrW0_zeit_2_0 
0228: Einst_SuHkrW0_zeit_2_1 
0229: Einst_SuHkr25_zeit_0_0 
0230: Einst_SuHkr25_zeit_0_1 
0231: Einst_SuHkr25_zeit_1_0 
0232: Einst_SuHkr25_zeit_1_1 
0233: Einst_SuHkr25_zeit_2_0 
0234: Einst_SuHkr25_zeit_2_1 
0235: Einst_SuHkr25_zeit_0_2 
0236: Einst_SuHkr25_zeit_0_3 
0237: Einst_SuHkr25_zeit_1_2 
0238: Einst_SuHkr25_zeit_1_3 
0239: Einst_SuHkr25_zeit_2_2 
0240: Einst_SuHkr25_zeit_2_3 
0241: Einst_SuHkrTG_zeit_0_0 
0242: Einst_SuHkrTG_zeit_0_1 
0243: Einst_SuHkrTG_zeit_1_0 
0244: Einst_SuHkrTG_zeit_1_1 
0245: Einst_SuHkrTG_zeit_2_0 
0246: Einst_SuHkrTG_zeit_2_1 
0247: Einst_SuHkrTG_zeit_0_2 
0248: Einst_SuHkrTG_zeit_0_3 
0249: Einst_SuHkrTG_zeit_1_2 
0250: Einst_SuHkrTG_zeit_1_3 
0251: Einst_SuHkrTG_zeit_2_2 
0252: Einst_SuHkrTG_zeit_2_3 
0253: Einst_SuHkrTG_zeit_0_4 
0254: Einst_SuHkrTG_zeit_0_5 
0255: Einst_SuHkrTG_zeit_1_4 
0256: Einst_SuHkrTG_zeit_1_5 
0257: Einst_SuHkrTG_zeit_2_4 
0258: Einst_SuHkrTG_zeit_2_5 
0259: Einst_SuHkrTG_zeit_0_6 
0260: Einst_SuHkrTG_zeit_0_7 
0261: Einst_SuHkrTG_zeit_1_6 
0262: Einst_SuHkrTG_zeit_1_7 
0263: Einst_SuHkrTG_zeit_2_6 
0264: Einst_SuHkrTG_zeit_2_7 
0265: Einst_SuHkrTG_zeit_0_8 
0266: Einst_SuHkrTG_zeit_0_9 
0267: Einst_SuHkrTG_zeit_1_8 
0268: Einst_SuHkrTG_zeit_1_9 
0269: Einst_SuHkrTG_zeit_2_8 
0270: Einst_SuHkrTG_zeit_2_9 
0271: Einst_SuHkrTG_zeit_0_10 
0272: Einst_SuHkrTG_zeit_0_11 
0273: Einst_SuHkrTG_zeit_1_10 
0274: Einst_SuHkrTG_zeit_1_11 
0275: Einst_SuHkrTG_zeit_2_10 
0276: Einst_SuHkrTG_zeit_2_11 
0277: Einst_SuHkrTG_zeit_0_12 
0278: Einst_SuHkrTG_zeit_0_13 
0279: Einst_SuHkrTG_zeit_1_12 
0280: Einst_SuHkrTG_zeit_1_13 
0281: Einst_SuHkrTG_zeit_2_12 
0282: Einst_SuHkrTG_zeit_2_13 
0283: Einst_SuMk1_akt 
0284: Einst_SuMk1W0_zeit_0_0 
0285: Einst_SuMk1W0_zeit_0_1 
0286: Einst_SuMk1W0_zeit_1_0 
0287: Einst_SuMk1W0_zeit_1_1 
0288: Einst_SuMk1W0_zeit_2_0 
0289: Einst_SuMk1W0_zeit_2_1 
0290: Einst_SuMk125_zeit_0_0 
0291: Einst_SuMk125_zeit_0_1 
0292: Einst_SuMk125_zeit_1_0 
0293: Einst_SuMk125_zeit_1_1 
0294: Einst_SuMk125_zeit_2_0 
0295: Einst_SuMk125_zeit_2_1 
0296: Einst_SuMk125_zeit_0_2 
0297: Einst_SuMk125_zeit_0_3 
0298: Einst_SuMk125_zeit_1_2 
0299: Einst_SuMk125_zeit_1_3 
0300: Einst_SuMk125_zeit_2_2 
0301: Einst_SuMk125_zeit_2_3 
0302: Einst_SuMk1TG_zeit_0_0 
0303: Einst_SuMk1TG_zeit_0_1 
0304: Einst_SuMk1TG_zeit_1_0 
0305: Einst_SuMk1TG_zeit_1_1 
0306: Einst_SuMk1TG_zeit_2_0 
0307: Einst_SuMk1TG_zeit_2_1 
0308: Einst_SuMk1TG_zeit_0_2 
0309: Einst_SuMk1TG_zeit_0_3 
0310: Einst_SuMk1TG_zeit_1_2 
0311: Einst_SuMk1TG_zeit_1_3 
0312: Einst_SuMk1TG_zeit_2_2 
0313: Einst_SuMk1TG_zeit_2_3 
0314: Einst_SuMk1TG_zeit_0_4 
0315: Einst_SuMk1TG_zeit_0_5 
0316: Einst_SuMk1TG_zeit_1_4 
0317: Einst_SuMk1TG_zeit_1_5 
0318: Einst_SuMk1TG_zeit_2_4 
0319: Einst_SuMk1TG_zeit_2_5 
0320: Einst_SuMk1TG_zeit_0_6 
0321: Einst_SuMk1TG_zeit_0_7 
0322: Einst_SuMk1TG_zeit_1_6 
0323: Einst_SuMk1TG_zeit_1_7 
0324: Einst_SuMk1TG_zeit_2_6 
0325: Einst_SuMk1TG_zeit_2_7 
0326: Einst_SuMk1TG_zeit_0_8 
0327: Einst_SuMk1TG_zeit_0_9 
